word,category,difficulty,length,is_christmas_theme,is_bonus
almond,Christmas,Medium,6,True,False
alpine,Christmas,Medium,6,True,False
apricot,Christmas,Medium,7,True,False
aroma,Christmas,Medium,5,True,False
aspen,Christmas,Medium,5,True,False
attic,Christmas,Medium,5,True,False
auburn,Christmas,Medium,6,True,False
badge,Christmas,Medium,5,True,False
ballet,Christmas,Medium,6,True,False
balsam,Christmas,Medium,6,True,False
banquet,Christmas,Medium,7,True,False
beehive,Christmas,Medium,7,True,False
birch,Christmas,Medium,5,True,False
booklet,Christmas,Medium,7,True,False
bootlace,Christmas,Hard,8,True,False
boulevard,Christmas,Hard,9,True,False
briar,Christmas,Medium,5,True,False
brookside,Christmas,Hard,9,True,False
burlap,Christmas,Medium,6,True,False
buttercup,Christmas,Hard,9,True,False
camphor,Christmas,Medium,7,True,False
candlestick,Christmas,Expert,11,True,False
caretaker,Christmas,Hard,9,True,False
carousel,Christmas,Hard,8,True,False
chestnut,Christmas,Hard,8,True,False
chime,Christmas,Medium,5,True,False
choirmaster,Christmas,Expert,11,True,False
cinnamonroll,Christmas,Expert,12,True,False
claret,Christmas,Medium,6,True,False
cobblestone,Christmas,Expert,11,True,False
confection,Christmas,Hard,10,True,False
confectioner,Christmas,Expert,12,True,False
cranberrysauce,Christmas,Expert,14,True,False
crystalize,Christmas,Hard,10,True,False
dazzling,Christmas,Hard,8,True,False
doorstep,Christmas,Hard,8,True,False
dove,Christmas,Easy,4,True,False
evergreenery,Christmas,Expert,12,True,False
firneedle,Christmas,Hard,9,True,False
fireside,Christmas,Hard,8,True,False
frostbite,Christmas,Hard,9,True,False
frostline,Christmas,Hard,9,True,False
garlanded,Christmas,Hard,9,True,False
glistening,Christmas,Hard,10,True,False
goldfinch,Christmas,Hard,9,True,False
goodwiller,Christmas,Hard,10,True,False
greetingcard,Christmas,Expert,12,True,False
hearthrug,Christmas,Hard,9,True,False
hollyberry,Christmas,Hard,10,True,False
honeysuckle,Christmas,Expert,11,True,False
icestorm,Christmas,Hard,8,True,False
ivory,Christmas,Medium,5,True,False
juniper,Christmas,Medium,7,True,False
keepsake,Christmas,Hard,8,True,False
lamplight,Christmas,Hard,9,True,False
leaflet,Christmas,Medium,7,True,False
mangercloth,Christmas,Expert,11,True,False
maplewood,Christmas,Hard,9,True,False
moonbeam,Christmas,Hard,8,True,False
morningstar,Christmas,Expert,11,True,False
needlework,Christmas,Hard,10,True,False
nightfall,Christmas,Hard,9,True,False
oakwood,Christmas,Medium,7,True,False
peppermintbark,Christmas,Expert,14,True,False
pinebough,Christmas,Hard,9,True,False
pinegrove,Christmas,Hard,9,True,False
postcard,Christmas,Hard,8,True,False
prayerful,Christmas,Hard,9,True,False
quiltmaker,Christmas,Hard,10,True,False
redbreast,Christmas,Hard,9,True,False
rosewood,Christmas,Hard,8,True,False
snowbank,Christmas,Hard,8,True,False
snowcapped,Christmas,Hard,10,True,False
snowfield,Christmas,Hard,9,True,False
snowglobe,Christmas,Hard,9,True,False
snowplow,Christmas,Hard,8,True,False
snowshoeer,Christmas,Hard,10,True,False
songbook,Christmas,Hard,8,True,False
stargazer,Christmas,Hard,9,True,False
sugarcookie,Christmas,Expert,11,True,False
sugarplum,Christmas,Hard,9,True,False
tidings,Christmas,Medium,7,True,False
treelight,Christmas,Hard,9,True,False
treefarm,Christmas,Hard,8,True,False
treetop,Christmas,Medium,7,True,False
winterberry,Christmas,Expert,11,True,False
winterfest,Christmas,Hard,10,True,False
woodcraft,Christmas,Hard,9,True,False
woodland,Christmas,Hard,8,True,False
wreathmaker,Christmas,Expert,11,True,False
abbey,Christmas,Medium,5,True,False
acorn,Christmas,Medium,5,True,False
antlers,Christmas,Medium,7,True,False
artisan,Christmas,Medium,7,True,False
bellhop,Christmas,Medium,7,True,False
bookmark,Christmas,Hard,8,True,False
brassware,Christmas,Hard,9,True,False
broomstick,Christmas,Hard,10,True,False
candlemaker,Christmas,Expert,11,True,False
cardholder,Christmas,Hard,10,True,False
carver,Christmas,Medium,6,True,False
chalet,Christmas,Medium,6,True,False
chestnuts,Christmas,Hard,9,True,False
chorus,Christmas,Medium,6,True,False
cider,Christmas,Medium,5,True,False
cloak,Christmas,Medium,5,True,False
cobbler,Christmas,Medium,7,True,False
conifer,Christmas,Medium,7,True,False
drummerboy,Christmas,Hard,10,True,False
firwood,Christmas,Medium,7,True,False
frosting,Christmas,Hard,8,True,False
giftwrap,Christmas,Hard,8,True,False
greenery,Christmas,Hard,8,True,False
handbell,Christmas,Hard,8,True,False
handbells,Christmas,Hard,9,True,False
hollyhock,Christmas,Hard,9,True,False
joyride,Christmas,Medium,7,True,False
keepsakes,Christmas,Hard,9,True,False
knitwear,Christmas,Hard,8,True,False
lighted,Christmas,Medium,7,True,False
mantel,Christmas,Medium,6,True,False
moonlight,Christmas,Hard,9,True,False
northland,Christmas,Hard,9,True,False
pageant,Christmas,Medium,7,True,False
plumcake,Christmas,Hard,8,True,False
porchlight,Christmas,Hard,10,True,False
ribbonwork,Christmas,Hard,10,True,False
snowbridge,Christmas,Hard,10,True,False
snowdrop,Christmas,Hard,8,True,False
snowland,Christmas,Hard,8,True,False
snowmelt,Christmas,Hard,8,True,False
starshine,Christmas,Hard,9,True,False
wintering,Christmas,Hard,9,True,False
woodlands,Christmas,Hard,9,True,False
