word,category,difficulty,length,is_christmas_theme,is_bonus
adore,Christmas,Medium,5,True,False
alpineglow,Christmas,Hard,10,True,False
amaryllis,Christmas,Hard,9,True,False
bakehouse,Christmas,Hard,9,True,False
bayberry,Christmas,Hard,8,True,False
bellringer,Christmas,Hard,10,True,False
berrywood,Christmas,Hard,9,True,False
birdhouse,Christmas,Hard,9,True,False
blackbird,Christmas,Hard,9,True,False
breadbox,Christmas,Hard,8,True,False
brisket,Christmas,Medium,7,True,False
brooklet,Christmas,Hard,8,True,False
candlewick,Christmas,Hard,10,True,False
carillon,Christmas,Hard,8,True,False
chimneys,Christmas,Hard,8,True,False
choirboy,Christmas,Hard,8,True,False
cloakroom,Christmas,Hard,9,True,False
cornstalk,Christmas,Hard,9,True,False
craftsman,Christmas,Hard,9,True,False
crossroad,Christmas,Hard,9,True,False
crystalball,Christmas,Expert,11,True,False
deepfreeze,Christmas,Hard,10,True,False
dogsled,Christmas,Medium,7,True,False
dovelet,Christmas,Medium,7,True,False
evergreens,Christmas,Hard,10,True,False
frostwork,Christmas,Hard,9,True,False
garlands,Christmas,Hard,8,True,False
giftshop,Christmas,Hard,8,True,False
goldcrest,Christmas,Hard,9,True,False
goodnight,Christmas,Hard,9,True,False
handcraft,Christmas,Hard,9,True,False
handwork,Christmas,Hard,8,True,False
hayride,Christmas,Medium,7,True,False
hollyleaf,Christmas,Hard,9,True,False
icicles,Christmas,Medium,7,True,False
jingles,Christmas,Medium,7,True,False
keepers,Christmas,Medium,7,True,False
larkspur,Christmas,Hard,8,True,False
letterbox,Christmas,Hard,9,True,False
mantelpiece,Christmas,Expert,11,True,False
moonrise,Christmas,Hard,8,True,False
needlepine,Christmas,Hard,10,True,False
oakleaf,Christmas,Medium,7,True,False
pageantry,Christmas,Hard,9,True,False
pinecrest,Christmas,Hard,9,True,False
pineview,Christmas,Hard,8,True,False
postmark,Christmas,Hard,8,True,False
quiltwork,Christmas,Hard,9,True,False
redbird,Christmas,Medium,7,True,False
rosemary,Christmas,Hard,8,True,False
snowbell,Christmas,Hard,8,True,False
snowcap,Christmas,Medium,7,True,False
snowmound,Christmas,Hard,9,True,False
snowprint,Christmas,Hard,9,True,False
snowtrail,Christmas,Hard,9,True,False
starlight,Christmas,Hard,9,True,False
starry,Christmas,Medium,6,True,False
sugarplums,Christmas,Hard,10,True,False
tabletop,Christmas,Hard,8,True,False
thimble,Christmas,Medium,7,True,False
toymaker,Christmas,Hard,8,True,False
treehouse,Christmas,Hard,9,True,False
treetops,Christmas,Hard,8,True,False
winterbird,Christmas,Hard,10,True,False
winterwood,Christmas,Hard,10,True,False
workshops,Christmas,Hard,9,True,False
cardinals,Christmas,Hard,9,True,False
junipers,Christmas,Hard,8,True,False
moonbeams,Christmas,Hard,9,True,False
