word,category,difficulty,length,is_christmas_theme,is_bonus
adoration,Christmas,Hard,9,True,False
adventcalendar,Christmas,Expert,14,True,False
angelology,Christmas,Hard,10,True,False
annunciation,Christmas,Expert,12,True,False
bethlehemite,Christmas,Expert,12,True,False
candleholder,Christmas,Expert,12,True,False
candlelighting,Christmas,Expert,14,True,False
caretaking,Christmas,Hard,10,True,False
celebrationary,Christmas,Expert,14,True,False
charitywork,Christmas,Expert,11,True,False
christchild,Christmas,Expert,11,True,False
christendom,Christmas,Expert,11,True,False
christening,Christmas,Expert,11,True,False
christmases,Christmas,Expert,11,True,False
christmastime,Christmas,Expert,13,True,False
churchgoing,Christmas,Expert,11,True,False
comfortingly,Christmas,Expert,12,True,False
commemorative,Christmas,Expert,13,True,False
congregation,Christmas,Expert,12,True,False
devotional,Christmas,Hard,10,True,False
devotionals,Christmas,Expert,11,True,False
discipleship,Christmas,Expert,12,True,False
enlightenment,Christmas,Expert,13,True,False
epiphanies,Christmas,Hard,10,True,False
everlasting,Christmas,Expert,11,True,False
faithfilled,Christmas,Expert,11,True,False
faithfulness,Christmas,Expert,12,True,False
fellowshipper,Christmas,Expert,13,True,False
frankincense,Christmas,Expert,12,True,False
fruitfulness,Christmas,Expert,12,True,False
generations,Christmas,Expert,11,True,False
gingerbreads,Christmas,Expert,12,True,False
gladhearted,Christmas,Expert,11,True,False
grandparenting,Christmas,Expert,14,True,False
gratefulness,Christmas,Expert,12,True,False
hallelujahs,Christmas,Expert,11,True,False
heartwarming,Christmas,Expert,12,True,False
holidaymaker,Christmas,Expert,12,True,False
hospitality,Christmas,Expert,11,True,False
illumination,Christmas,Expert,12,True,False
incarnations,Christmas,Expert,12,True,False
inspirational,Christmas,Expert,13,True,False
intercession,Christmas,Expert,12,True,False
joyfulness,Christmas,Hard,10,True,False
kingdomcome,Christmas,Expert,11,True,False
lanternlights,Christmas,Expert,13,True,False
longsuffering,Christmas,Expert,13,True,False
mangerscene,Christmas,Expert,11,True,False
marshmallows,Christmas,Expert,12,True,False
mercifulness,Christmas,Expert,12,True,False
miracleworker,Christmas,Expert,13,True,False
missionaries,Christmas,Expert,12,True,False
nativityscene,Christmas,Expert,13,True,False
neighborhoods,Christmas,Expert,13,True,False
nutcrackers,Christmas,Expert,11,True,False
ornamentation,Christmas,Expert,13,True,False
peacefulness,Christmas,Expert,12,True,False
peppermints,Christmas,Expert,11,True,False
pilgrimages,Christmas,Expert,11,True,False
poinsettias,Christmas,Expert,11,True,False
preparation,Christmas,Expert,11,True,False
proclamation,Christmas,Expert,12,True,False
reconciliation,Christmas,Expert,14,True,False
redemption,Christmas,Hard,10,True,False
rejoicings,Christmas,Hard,10,True,False
remembrance,Christmas,Expert,11,True,False
restorations,Christmas,Expert,12,True,False
righteousness,Christmas,Expert,13,True,False
sanctification,Christmas,Expert,14,True,False
sanctuarys,Christmas,Hard,10,True,False
shepherding,Christmas,Expert,11,True,False
snowboarding,Christmas,Expert,12,True,False
snowcovered,Christmas,Expert,11,True,False
snowdrifts,Christmas,Hard,10,True,False
snowfields,Christmas,Hard,10,True,False
snowflakes,Christmas,Hard,10,True,False
snowmobiles,Christmas,Expert,11,True,False
snowshoeing,Christmas,Expert,11,True,False
snowstorms,Christmas,Hard,10,True,False
storytelling,Christmas,Expert,12,True,False
thankfulness,Christmas,Expert,12,True,False
togetherness,Christmas,Expert,12,True,False
traditions,Christmas,Hard,10,True,False
treetoppers,Christmas,Expert,11,True,False
understanding,Christmas,Expert,13,True,False
wintergreen,Christmas,Expert,11,True,False
wintertime,Christmas,Hard,10,True,False
wonderlands,Christmas,Expert,11,True,False
worshippers,Christmas,Expert,11,True,False
yuletides,Christmas,Hard,9,True,False
