word,category,difficulty,length,is_christmas_theme,is_bonus
acorn,Christmas,Medium,5,True,False
alpine,Christmas,Medium,6,True,False
antler,Christmas,Medium,6,True,False
apron,Christmas,Medium,5,True,False
aurora,Christmas,Medium,6,True,False
bakery,Christmas,Medium,6,True,False
beacon,Christmas,Medium,6,True,False
beaver,Christmas,Medium,6,True,False
biscuit,Christmas,Medium,7,True,False
bonnet,Christmas,Medium,6,True,False
border,Christmas,Medium,6,True,False
buckle,Christmas,Medium,6,True,False
buffet,Christmas,Medium,6,True,False
butter,Christmas,Medium,6,True,False
canyon,Christmas,Medium,6,True,False
carver,Christmas,Medium,6,True,False
chalet,Christmas,Medium,6,True,False
chapel,Christmas,Medium,6,True,False
choral,Christmas,Medium,6,True,False
churchy,Christmas,Medium,7,True,False
citrus,Christmas,Medium,6,True,False
clover,Christmas,Medium,6,True,False
comet,Christmas,Medium,5,True,False
comfort,Christmas,Medium,7,True,False
cookie,Christmas,Medium,6,True,False
copper,Christmas,Medium,6,True,False
cottage,Christmas,Medium,7,True,False
cozying,Christmas,Medium,7,True,False
cracker,Christmas,Medium,7,True,False
creche,Christmas,Medium,6,True,False
crystal,Christmas,Medium,7,True,False
custard,Christmas,Medium,7,True,False
dancer,Christmas,Medium,6,True,False
dasher,Christmas,Medium,6,True,False
donate,Christmas,Medium,6,True,False
draper,Christmas,Medium,6,True,False
drummer,Christmas,Medium,7,True,False
embering,Christmas,Hard,8,True,False
evergreen,Christmas,Hard,9,True,False
family,Christmas,Medium,6,True,False
feastful,Christmas,Hard,8,True,False
festival,Christmas,Hard,8,True,False
finch,Christmas,Medium,5,True,False
fircone,Christmas,Medium,7,True,False
flannel,Christmas,Medium,7,True,False
foliage,Christmas,Medium,7,True,False
frosted,Christmas,Medium,7,True,False
gather,Christmas,Medium,6,True,False
gilded,Christmas,Medium,6,True,False
giving,Christmas,Medium,6,True,False
gracefy,Christmas,Medium,7,True,False
grateful,Christmas,Hard,8,True,False
greeting,Christmas,Hard,8,True,False
harbor,Christmas,Medium,6,True,False
harvest,Christmas,Medium,7,True,False
hearthside,Christmas,Hard,10,True,False
hollyday,Christmas,Hard,8,True,False
humble,Christmas,Medium,6,True,False
iceman,Christmas,Medium,6,True,False
icicle,Christmas,Medium,6,True,False
jinglekeeper,Christmas,Expert,12,True,False
joyful,Christmas,Medium,6,True,False
juniper,Christmas,Medium,7,True,False
kettle,Christmas,Medium,6,True,False
knitted,Christmas,Medium,7,True,False
lantern,Christmas,Medium,7,True,False
leather,Christmas,Medium,7,True,False
logger,Christmas,Medium,6,True,False
lumber,Christmas,Medium,6,True,False
market,Christmas,Medium,6,True,False
merrier,Christmas,Medium,7,True,False
mittened,Christmas,Hard,8,True,False
moonlit,Christmas,Medium,7,True,False
nativity,Christmas,Hard,8,True,False
noble,Christmas,Medium,5,True,False
northwind,Christmas,Hard,9,True,False
nutmeg,Christmas,Medium,6,True,False
oatmeal,Christmas,Medium,7,True,False
partridge,Christmas,Hard,9,True,False
pastry,Christmas,Medium,6,True,False
pebble,Christmas,Medium,6,True,False
peppermint,Christmas,Hard,10,True,False
pinecone,Christmas,Hard,8,True,False
pinewood,Christmas,Hard,8,True,False
polarbear,Christmas,Hard,9,True,False
postcard,Christmas,Hard,8,True,False
pudding,Christmas,Medium,7,True,False
quilted,Christmas,Medium,7,True,False
radiant,Christmas,Medium,7,True,False
reindeer,Christmas,Hard,8,True,False
ribboned,Christmas,Hard,8,True,False
robinhood,Christmas,Hard,9,True,False
rosying,Christmas,Medium,7,True,False
scarfed,Christmas,Medium,7,True,False
shimmer,Christmas,Medium,7,True,False
skater,Christmas,Medium,6,True,False
sledder,Christmas,Medium,7,True,False
snowfall,Christmas,Hard,8,True,False
snowyday,Christmas,Hard,8,True,False
songbird,Christmas,Hard,8,True,False
sparkle,Christmas,Medium,7,True,False
spruce,Christmas,Medium,6,True,False
stableman,Christmas,Hard,9,True,False
starlit,Christmas,Medium,7,True,False
stocking,Christmas,Hard,8,True,False
sugarplum,Christmas,Hard,9,True,False
sweater,Christmas,Medium,7,True,False
thawing,Christmas,Medium,7,True,False
timber,Christmas,Medium,6,True,False
toasty,Christmas,Medium,6,True,False
tradition,Christmas,Hard,9,True,False
traveler,Christmas,Hard,8,True,False
trinket,Christmas,Medium,7,True,False
walnut,Christmas,Medium,6,True,False
welcome,Christmas,Medium,7,True,False
wintry,Christmas,Medium,6,True,False
workshop,Christmas,Hard,8,True,False
wreaths,Christmas,Medium,7,True,False
yuletide,Christmas,Hard,8,True,False
angelic,Christmas,Medium,7,True,False
blessing,Christmas,Hard,8,True,False
caroling,Christmas,Hard,8,True,False
chestnut,Christmas,Hard,8,True,False
cinnamon,Christmas,Hard,8,True,False
cocoahouse,Christmas,Hard,10,True,False
cranberry,Christmas,Hard,9,True,False
decorate,Christmas,Hard,8,True,False
donation,Christmas,Hard,8,True,False
evergreenly,Christmas,Expert,11,True,False
fireplace,Christmas,Hard,9,True,False
goodwill,Christmas,Hard,8,True,False
gratitude,Christmas,Hard,9,True,False
holidaying,Christmas,Hard,10,True,False
merriment,Christmas,Hard,9,True,False
ornament,Christmas,Hard,8,True,False
pineforest,Christmas,Hard,10,True,False
poinsettia,Christmas,Hard,10,True,False
snowangel,Christmas,Hard,9,True,False
snowdrift,Christmas,Hard,9,True,False
snowflake,Christmas,Hard,9,True,False
snowman,Christmas,Medium,7,True,False
snowshoe,Christmas,Hard,8,True,False
snowstorm,Christmas,Hard,9,True,False
togetherness,Christmas,Expert,12,True,False
wonderland,Christmas,Hard,10,True,False
worshiper,Christmas,Hard,9,True,False
